Opportunity Number,Supplies Subgroup,Supplies Group,Opportunity Result,Sales Stage Change Count,Total Days Identified Through Closing,Total Days Identified Through Qualified,Opportunity Amount USD,Client Size By Revenue,Client Size By Employee Count,Revenue From Client Past Two Years,Competitor Type,Deal Size Category,Lat,Lon,Country_Code,Country
9426791,Replacement Parts,Car Accessories,Won,4,2,2,24000,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9426804,Garage & Car Care,Car Accessories,Loss,3,7,7,30000,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9428162,Garage & Car Care,Car Accessories,Loss,3,16,16,6440,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9428223,Exterior Accessories,Car Accessories,Loss,2,4,4,153374,1,1,0,Unknown,5,-9.275622,-75.585938,6,Peru
9428406,Garage & Car Care,Car Accessories,Loss,2,16,16,80000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9429063,Exterior Accessories,Car Accessories,Loss,4,13,13,100000,1,1,0,Unknown,5,-9.275622,-75.585938,6,Peru
9429522,Exterior Accessories,Car Accessories,Loss,2,7,7,50000,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9429622,Exterior Accessories,Car Accessories,Loss,2,5,5,200000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9429734,Garage & Car Care,Car Accessories,Loss,3,16,16,10000,1,1,0,None,2,-11.523088,-73.125,6,Peru
9430228,Interior Accessories,Car Accessories,Won,2,6,6,20000,1,1,0,None,2,-9.275622,-75.585938,6,Peru
9430267,Exterior Accessories,Car Accessories,Loss,1,0,0,100000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9430384,Motorcycle Parts,Performance & Non-auto,Won,1,0,0,210373,1,1,4,Unknown,5,-9.275622,-75.585938,6,Peru
9430505,Replacement Parts,Car Accessories,Loss,2,10,10,13000,1,1,0,None,2,-9.275622,-75.585938,6,Peru
9432161,Towing & Hitches,Car Accessories,Loss,2,7,7,800000,1,1,0,Unknown,7,-11.523088,-73.125,6,Peru
9432842,Interior Accessories,Car Accessories,Loss,2,0,0,100000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9433517,Garage & Car Care,Car Accessories,Won,4,1,1,57271,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9433570,Garage & Car Care,Car Accessories,Won,2,0,0,805,1,1,0,None,1,-11.523088,-73.125,6,Peru
9433628,Replacement Parts,Car Accessories,Loss,2,1,1,10000,1,1,0,None,2,-9.275622,-75.585938,6,Peru
9434225,Motorcycle Parts,Performance & Non-auto,Loss,2,2,2,122699,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9434416,Exterior Accessories,Car Accessories,Loss,2,7,7,20000,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9434616,Garage & Car Care,Car Accessories,Loss,3,16,16,4000,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9434823,Exterior Accessories,Car Accessories,Won,2,5,5,37000,1,1,0,Unknown,3,-9.275622,-75.585938,6,Peru
9434859,Garage & Car Care,Car Accessories,Won,2,5,5,11440,1,1,3,Unknown,2,-9.275622,-75.585938,6,Peru
9435532,Shelters & RV,Performance & Non-auto,Loss,2,16,16,50,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9436255,Shelters & RV,Performance & Non-auto,Loss,2,0,0,70000,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9436311,Motorcycle Parts,Performance & Non-auto,Won,3,5,5,10800,1,1,3,Unknown,2,-5.965754,-79.453125,6,Peru
9436681,Exterior Accessories,Car Accessories,Loss,6,9,9,245398,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9436690,Garage & Car Care,Car Accessories,Won,3,4,0,25334,1,1,0,Unknown,3,-5.965754,-79.453125,6,Peru
9437484,Towing & Hitches,Car Accessories,Won,3,23,22,20000,1,1,2,Unknown,2,-9.275622,-75.585938,6,Peru
9438917,Motorcycle Parts,Performance & Non-auto,Won,3,11,11,1000,1,1,4,Unknown,1,-5.965754,-79.453125,6,Peru
9439799,Garage & Car Care,Car Accessories,Won,4,14,14,249000,1,1,2,Known,5,-9.275622,-75.585938,6,Peru
9440405,Motorcycle Parts,Performance & Non-auto,Won,4,6,4,3000,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9440545,Shelters & RV,Performance & Non-auto,Loss,4,10,10,60000,1,1,0,None,4,-5.965754,-79.453125,6,Peru
9442372,Garage & Car Care,Car Accessories,Loss,2,10,10,540,1,1,0,None,1,-9.275622,-75.585938,6,Peru
9442743,Exterior Accessories,Car Accessories,Loss,2,9,9,25000,1,1,4,Unknown,3,-9.275622,-75.585938,6,Peru
9443228,Motorcycle Parts,Performance & Non-auto,Loss,3,16,16,245398,1,1,0,None,5,-9.275622,-75.585938,6,Peru
9444152,Motorcycle Parts,Performance & Non-auto,Loss,2,7,7,50000,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9446875,Motorcycle Parts,Performance & Non-auto,Loss,2,3,3,15000,1,1,0,Unknown,2,-5.965754,-79.453125,6,Peru
9447175,Motorcycle Parts,Performance & Non-auto,Won,3,6,4,50000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9447454,Batteries & Accessories,Car Accessories,Loss,2,1,1,10000,1,1,0,Unknown,2,-5.965754,-79.453125,6,Peru
9447685,Shelters & RV,Performance & Non-auto,Won,2,0,0,18730,1,1,0,Unknown,2,-11.523088,-73.125,6,Peru
9448235,Exterior Accessories,Car Accessories,Loss,3,18,18,15000,1,1,0,Unknown,2,-11.523088,-73.125,6,Peru
9448297,Exterior Accessories,Car Accessories,Loss,2,15,15,200000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9448383,Motorcycle Parts,Performance & Non-auto,Loss,2,10,10,7000,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9449761,Tires & Wheels,Tires & Wheels,Won,3,5,5,21905,1,1,2,Unknown,2,-11.523088,-73.125,6,Peru
9449779,Motorcycle Parts,Performance & Non-auto,Loss,3,15,15,25000,1,1,0,Unknown,3,-9.275622,-75.585938,6,Peru
9450792,Exterior Accessories,Car Accessories,Loss,2,9,9,85840,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9451043,Exterior Accessories,Car Accessories,Won,3,13,13,200000,1,1,4,Unknown,5,-5.965754,-79.453125,6,Peru
9451924,Motorcycle Parts,Performance & Non-auto,Won,3,2,2,13000,1,1,0,Unknown,2,-5.965754,-79.453125,6,Peru
9452811,Interior Accessories,Car Accessories,Loss,2,6,6,12000,1,1,0,Unknown,2,-5.965754,-79.453125,6,Peru
9453189,Garage & Car Care,Car Accessories,Loss,3,16,16,6134,1,1,0,None,1,-5.965754,-79.453125,6,Peru
9454086,Shelters & RV,Performance & Non-auto,Loss,3,16,16,25000,1,1,0,Unknown,3,-5.965754,-79.453125,6,Peru
9456049,Shelters & RV,Performance & Non-auto,Won,3,4,1,50000,1,1,3,Known,4,-9.275622,-75.585938,6,Peru
9456397,Exterior Accessories,Car Accessories,Won,3,1,1,149815,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9456974,Motorcycle Parts,Performance & Non-auto,Loss,3,10,10,102000,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
9457148,Exterior Accessories,Car Accessories,Loss,2,9,9,50000,1,1,0,None,4,-11.523088,-73.125,6,Peru
9457155,Exterior Accessories,Car Accessories,Won,2,3,3,200000,1,1,0,None,5,-11.523088,-73.125,6,Peru
9457522,Replacement Parts,Car Accessories,Won,5,13,12,40490,1,1,2,Unknown,3,-9.275622,-75.585938,6,Peru
9457543,Replacement Parts,Car Accessories,Won,2,0,0,1840,1,1,4,Unknown,1,-11.523088,-73.125,6,Peru
9458139,Batteries & Accessories,Car Accessories,Won,1,0,0,18404,1,1,3,Unknown,2,-9.275622,-75.585938,6,Peru
9458148,Motorcycle Parts,Performance & Non-auto,Won,1,0,0,11350,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9458439,Performance Parts,Performance & Non-auto,Loss,3,16,16,250000,1,1,0,Unknown,6,-9.275622,-75.585938,6,Peru
9458530,Replacement Parts,Car Accessories,Loss,2,4,4,17500,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9459692,Batteries & Accessories,Car Accessories,Loss,2,0,0,8000,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9460311,Motorcycle Parts,Performance & Non-auto,Loss,4,2,2,100000,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
9460435,Exterior Accessories,Car Accessories,Loss,2,2,2,7000,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9460985,Interior Accessories,Car Accessories,Loss,3,19,19,495432,1,1,0,Unknown,6,-5.965754,-79.453125,6,Peru
9461632,Shelters & RV,Performance & Non-auto,Loss,1,0,0,0,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9461961,Replacement Parts,Car Accessories,Loss,2,14,14,5000,1,1,0,None,1,-5.965754,-79.453125,6,Peru
9462029,Performance Parts,Performance & Non-auto,Loss,2,17,17,40000,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9462498,Garage & Car Care,Car Accessories,Loss,4,3,3,9000,1,1,0,None,1,-5.965754,-79.453125,6,Peru
9462604,Shelters & RV,Performance & Non-auto,Loss,2,11,11,10000,1,1,0,None,2,-9.275622,-75.585938,6,Peru
9462641,Towing & Hitches,Car Accessories,Loss,2,13,13,75000,1,1,0,None,4,-11.523088,-73.125,6,Peru
9462704,Exterior Accessories,Car Accessories,Won,3,3,3,33000,1,1,0,None,3,-9.275622,-75.585938,6,Peru
9462796,Motorcycle Parts,Performance & Non-auto,Loss,2,5,5,25000,1,1,0,Unknown,3,-9.275622,-75.585938,6,Peru
9462844,Batteries & Accessories,Car Accessories,Loss,2,13,13,122699,1,1,3,Unknown,5,-5.965754,-79.453125,6,Peru
9463723,Motorcycle Parts,Performance & Non-auto,Won,3,11,11,2500,1,1,1,None,1,-11.523088,-73.125,6,Peru
9463901,Motorcycle Parts,Performance & Non-auto,Won,1,0,0,43000,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9463922,Batteries & Accessories,Car Accessories,Loss,1,0,0,122699,1,1,0,Unknown,5,-9.275622,-75.585938,6,Peru
9463940,Batteries & Accessories,Car Accessories,Won,3,12,9,35836,1,1,4,Unknown,3,-9.275622,-75.585938,6,Peru
9464063,Exterior Accessories,Car Accessories,Won,2,1,1,4212,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9464181,Exterior Accessories,Car Accessories,Won,2,4,4,41411,1,1,1,Unknown,3,-11.523088,-73.125,6,Peru
9464225,Garage & Car Care,Car Accessories,Won,3,3,0,12780,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9464228,Motorcycle Parts,Performance & Non-auto,Won,3,5,0,18624,1,1,0,Unknown,2,-5.965754,-79.453125,6,Peru
9464240,Exterior Accessories,Car Accessories,Loss,7,21,21,50000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9464262,Exterior Accessories,Car Accessories,Loss,3,5,5,50000,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9464975,Exterior Accessories,Car Accessories,Loss,2,6,6,150000,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
9465382,Exterior Accessories,Car Accessories,Loss,6,2,2,105000,1,1,0,None,5,-11.523088,-73.125,6,Peru
9466156,Performance Parts,Performance & Non-auto,Loss,2,15,15,245398,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
9466279,Performance Parts,Performance & Non-auto,Loss,2,11,11,104294,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
9466389,Motorcycle Parts,Performance & Non-auto,Loss,2,5,5,200000,1,1,0,Unknown,5,-9.275622,-75.585938,6,Peru
9466566,Batteries & Accessories,Car Accessories,Won,3,4,4,0,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9466817,Towing & Hitches,Car Accessories,Loss,2,0,0,29250,1,1,4,Unknown,3,-11.523088,-73.125,6,Peru
9467239,Exterior Accessories,Car Accessories,Won,1,0,0,13000,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9468330,Exterior Accessories,Car Accessories,Loss,1,0,0,25000,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9468411,Exterior Accessories,Car Accessories,Loss,2,16,16,50000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9468582,Exterior Accessories,Car Accessories,Loss,3,20,20,24539,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9468600,Motorcycle Parts,Performance & Non-auto,Loss,3,15,15,35000,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9468923,Tires & Wheels,Tires & Wheels,Loss,3,5,5,60000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9469218,Batteries & Accessories,Car Accessories,Loss,3,17,17,105000,1,1,0,Unknown,5,-9.275622,-75.585938,6,Peru
9469280,Performance Parts,Performance & Non-auto,Loss,2,0,0,122699,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
9469753,Replacement Parts,Car Accessories,Won,3,1,1,2800,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9470351,Towing & Hitches,Car Accessories,Won,3,3,0,20100,1,1,0,Unknown,2,-11.523088,-73.125,6,Peru
9471124,Towing & Hitches,Car Accessories,Won,2,8,8,40000,1,1,4,Unknown,3,-5.965754,-79.453125,6,Peru
9472023,Towing & Hitches,Car Accessories,Loss,2,7,7,100,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9472340,Exterior Accessories,Car Accessories,Loss,3,0,0,35000,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9472604,Exterior Accessories,Car Accessories,Loss,2,8,8,61349,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9473205,Batteries & Accessories,Car Accessories,Loss,2,0,0,20000,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9474132,Exterior Accessories,Car Accessories,Loss,2,6,6,100000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9475332,Garage & Car Care,Car Accessories,Won,2,5,5,42944,1,1,0,Unknown,3,-9.275622,-75.585938,6,Peru
9475601,Exterior Accessories,Car Accessories,Loss,3,15,15,25000,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9476285,Exterior Accessories,Car Accessories,Loss,2,11,11,50000,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9477022,Exterior Accessories,Car Accessories,Loss,2,2,2,150000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9478197,Garage & Car Care,Car Accessories,Won,2,8,8,22440,1,1,0,None,2,-11.523088,-73.125,6,Peru
9479865,Interior Accessories,Car Accessories,Loss,2,0,0,80000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9480006,Performance Parts,Performance & Non-auto,Loss,3,5,5,100000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9482482,Exterior Accessories,Car Accessories,Won,4,6,6,53000,1,1,2,None,4,-9.275622,-75.585938,6,Peru
9483090,Exterior Accessories,Car Accessories,Loss,3,13,13,120000,1,1,0,Unknown,5,-9.275622,-75.585938,6,Peru
9483127,Batteries & Accessories,Car Accessories,Loss,3,4,4,750000,1,1,0,Unknown,7,-5.965754,-79.453125,6,Peru
9483143,Interior Accessories,Car Accessories,Won,5,18,18,65000,1,1,4,Unknown,4,-9.275622,-75.585938,6,Peru
9483229,Performance Parts,Performance & Non-auto,Loss,2,15,15,120000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9483425,Garage & Car Care,Car Accessories,Loss,2,14,14,50000,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9484389,Exterior Accessories,Car Accessories,Won,2,7,7,15000,1,1,0,Unknown,2,-11.523088,-73.125,6,Peru
9484740,Motorcycle Parts,Performance & Non-auto,Loss,2,7,7,2000,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9486163,Batteries & Accessories,Car Accessories,Loss,2,4,4,300000,1,1,0,Unknown,6,-5.965754,-79.453125,6,Peru
9486202,Replacement Parts,Car Accessories,Won,4,16,16,55000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9486352,Garage & Car Care,Car Accessories,Won,4,8,8,10000,1,1,0,None,2,-11.523088,-73.125,6,Peru
9486359,Shelters & RV,Performance & Non-auto,Loss,2,0,0,105000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9486494,Shelters & RV,Performance & Non-auto,Loss,2,15,15,600000,1,1,0,Unknown,7,-11.523088,-73.125,6,Peru
9486647,Motorcycle Parts,Performance & Non-auto,Loss,3,19,19,86340,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9486740,Shelters & RV,Performance & Non-auto,Loss,2,0,0,900000,1,1,0,Unknown,7,-9.275622,-75.585938,6,Peru
9486762,Motorcycle Parts,Performance & Non-auto,Loss,2,4,4,7200,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9486766,Replacement Parts,Car Accessories,Loss,3,5,5,104294,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9487826,Shelters & RV,Performance & Non-auto,Won,3,1,1,2306,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9487938,Motorcycle Parts,Performance & Non-auto,Won,3,6,6,2468,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9488270,Batteries & Accessories,Car Accessories,Loss,2,19,19,200000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9488740,Exterior Accessories,Car Accessories,Loss,2,20,20,40400,1,1,0,Unknown,3,-5.965754,-79.453125,6,Peru
9488926,Garage & Car Care,Car Accessories,Won,2,9,9,7700,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9489074,Replacement Parts,Car Accessories,Loss,2,19,19,250000,1,1,0,Unknown,6,-9.275622,-75.585938,6,Peru
9489156,Motorcycle Parts,Performance & Non-auto,Won,2,2,0,7361,1,1,1,Unknown,1,-11.523088,-73.125,6,Peru
9489351,Motorcycle Parts,Performance & Non-auto,Won,2,5,5,2000,1,1,0,None,1,-11.523088,-73.125,6,Peru
9489353,Exterior Accessories,Car Accessories,Won,1,0,0,3694,1,1,4,Unknown,1,-11.523088,-73.125,6,Peru
9489641,Shelters & RV,Performance & Non-auto,Loss,2,14,14,101000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9490266,Motorcycle Parts,Performance & Non-auto,Loss,1,0,0,552,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9490339,Exterior Accessories,Car Accessories,Won,2,4,4,11337,1,1,3,Unknown,2,-11.523088,-73.125,6,Peru
9490652,Motorcycle Parts,Performance & Non-auto,Won,3,3,2,29883,1,1,0,Unknown,3,-5.965754,-79.453125,6,Peru
9490974,Exterior Accessories,Car Accessories,Loss,2,11,11,105000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9491592,Interior Accessories,Car Accessories,Won,4,0,0,2500,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9492220,Motorcycle Parts,Performance & Non-auto,Loss,2,2,2,40000,1,1,0,None,3,-11.523088,-73.125,6,Peru
9492237,Interior Accessories,Car Accessories,Loss,2,4,4,20000,1,1,0,Unknown,2,-11.523088,-73.125,6,Peru
9492307,Shelters & RV,Performance & Non-auto,Won,2,14,14,306748,1,1,2,Unknown,6,-9.275622,-75.585938,6,Peru
9492887,Motorcycle Parts,Performance & Non-auto,Won,2,4,4,121000,1,1,3,Unknown,5,-5.965754,-79.453125,6,Peru
9493034,Batteries & Accessories,Car Accessories,Loss,2,0,0,100,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9493206,Motorcycle Parts,Performance & Non-auto,Loss,2,11,11,65000,1,1,3,None,4,-11.523088,-73.125,6,Peru
9493456,Shelters & RV,Performance & Non-auto,Loss,2,12,12,214,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9493566,Batteries & Accessories,Car Accessories,Loss,2,0,0,100000,1,1,0,Unknown,5,-9.275622,-75.585938,6,Peru
9493774,Motorcycle Parts,Performance & Non-auto,Won,2,21,21,25000,1,1,0,Unknown,3,-5.965754,-79.453125,6,Peru
9495092,Towing & Hitches,Car Accessories,Won,5,12,9,20000,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9495157,Batteries & Accessories,Car Accessories,Loss,2,0,0,0,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9496196,Exterior Accessories,Car Accessories,Won,2,5,5,5000,1,1,0,Known,1,-11.523088,-73.125,6,Peru
9496599,Performance Parts,Performance & Non-auto,Won,2,3,3,1000000,1,1,0,Unknown,7,-5.965754,-79.453125,6,Peru
9496652,Garage & Car Care,Car Accessories,Won,2,9,9,1100,1,1,0,None,1,-11.523088,-73.125,6,Peru
9497065,Exterior Accessories,Car Accessories,Won,1,0,0,36633,1,1,2,Unknown,3,-11.523088,-73.125,6,Peru
9497106,Motorcycle Parts,Performance & Non-auto,Loss,3,8,8,9980,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9497140,Batteries & Accessories,Car Accessories,Won,1,0,0,69438,1,1,4,Unknown,4,-5.965754,-79.453125,6,Peru
9497158,Garage & Car Care,Car Accessories,Loss,3,10,10,7485,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9497963,Batteries & Accessories,Car Accessories,Won,3,4,4,7000,1,1,0,None,1,-9.275622,-75.585938,6,Peru
9498278,Garage & Car Care,Car Accessories,Won,1,0,0,14165,1,1,2,Unknown,2,-9.275622,-75.585938,6,Peru
9498454,Motorcycle Parts,Performance & Non-auto,Won,2,2,2,5285,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9498523,Replacement Parts,Car Accessories,Loss,3,4,4,36809,1,1,0,Unknown,3,-9.275622,-75.585938,6,Peru
9498651,Tires & Wheels,Tires & Wheels,Won,3,12,12,376,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9498732,Towing & Hitches,Car Accessories,Loss,3,10,10,60000,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9498965,Exterior Accessories,Car Accessories,Loss,2,9,9,50000,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9499520,Towing & Hitches,Car Accessories,Loss,2,0,0,90,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9500034,Garage & Car Care,Car Accessories,Loss,2,13,13,50000,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9500081,Replacement Parts,Car Accessories,Loss,2,7,7,6000,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9500637,Shelters & RV,Performance & Non-auto,Loss,2,4,4,120000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9501356,Car Electronics,Car Electronics,Loss,3,5,5,25000,1,1,0,None,3,-9.275622,-75.585938,6,Peru
9501365,Shelters & RV,Performance & Non-auto,Won,3,3,3,0,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9503381,Motorcycle Parts,Performance & Non-auto,Won,3,2,2,905,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9504407,Garage & Car Care,Car Accessories,Loss,2,18,18,1500,1,1,0,None,1,-11.523088,-73.125,6,Peru
9504434,Motorcycle Parts,Performance & Non-auto,Loss,2,9,9,140000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9504652,Replacement Parts,Car Accessories,Loss,3,5,5,111000,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
9504754,Replacement Parts,Car Accessories,Loss,3,10,10,25000,1,1,0,Unknown,3,-9.275622,-75.585938,6,Peru
9505013,Towing & Hitches,Car Accessories,Loss,2,13,13,97500,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9505020,Exterior Accessories,Car Accessories,Loss,4,17,17,100000,1,1,0,None,5,-9.275622,-75.585938,6,Peru
9505176,Motorcycle Parts,Performance & Non-auto,Won,7,16,16,10216,1,1,3,None,2,-5.965754,-79.453125,6,Peru
9505342,Performance Parts,Performance & Non-auto,Loss,1,0,0,15337,1,1,0,Unknown,2,-5.965754,-79.453125,6,Peru
9505350,Performance Parts,Performance & Non-auto,Loss,1,0,0,30674,1,1,0,Unknown,3,-9.275622,-75.585938,6,Peru
9505362,Replacement Parts,Car Accessories,Won,1,0,0,47940,1,1,4,Unknown,3,-9.275622,-75.585938,6,Peru
9505421,Shelters & RV,Performance & Non-auto,Won,1,0,0,8319,1,1,0,Unknown,1,-9.275622,-75.585938,6,Peru
9505850,Exterior Accessories,Car Accessories,Won,2,11,11,6000,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9507350,Shelters & RV,Performance & Non-auto,Loss,2,7,7,49079,1,1,0,Unknown,3,-11.523088,-73.125,6,Peru
9508044,Batteries & Accessories,Car Accessories,Loss,3,1,1,499000,1,1,0,Unknown,6,-11.523088,-73.125,6,Peru
9508569,Garage & Car Care,Car Accessories,Won,2,2,2,203550,1,1,1,Unknown,5,-11.523088,-73.125,6,Peru
9509327,Motorcycle Parts,Performance & Non-auto,Won,2,2,2,4000,1,1,2,Unknown,1,-9.275622,-75.585938,6,Peru
9509452,Garage & Car Care,Car Accessories,Won,2,1,1,15000,1,1,0,Unknown,2,-9.275622,-75.585938,6,Peru
9510362,Exterior Accessories,Car Accessories,Won,1,0,0,17668,1,1,2,Unknown,2,-9.275622,-75.585938,6,Peru
9510398,Garage & Car Care,Car Accessories,Won,1,0,0,36460,1,1,0,Unknown,3,-5.965754,-79.453125,6,Peru
9510878,Replacement Parts,Car Accessories,Won,4,11,8,16571,1,1,0,Unknown,2,-5.965754,-79.453125,6,Peru
9511223,Performance Parts,Performance & Non-auto,Loss,2,9,9,120000,1,1,0,Unknown,5,-11.523088,-73.125,6,Peru
9511724,Batteries & Accessories,Car Accessories,Loss,4,14,14,50000,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9511931,Tires & Wheels,Tires & Wheels,Loss,3,20,20,0,1,1,0,Unknown,1,-11.523088,-73.125,6,Peru
9512961,Garage & Car Care,Car Accessories,Loss,3,6,6,60000,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9514545,Exterior Accessories,Car Accessories,Loss,2,0,0,60000,1,1,0,Unknown,4,-9.275622,-75.585938,6,Peru
9514552,Motorcycle Parts,Performance & Non-auto,Loss,2,8,8,70000,1,1,0,None,4,-5.965754,-79.453125,6,Peru
9514953,Shelters & RV,Performance & Non-auto,Loss,3,15,15,150000,1,1,4,Unknown,5,-5.965754,-79.453125,6,Peru
9514996,Batteries & Accessories,Car Accessories,Loss,2,18,18,79754,1,1,0,Unknown,4,-5.965754,-79.453125,6,Peru
9515210,Motorcycle Parts,Performance & Non-auto,Won,3,2,2,1533,1,1,2,Unknown,1,-9.275622,-75.585938,6,Peru
9515949,Garage & Car Care,Car Accessories,Loss,2,6,6,1000,1,1,0,None,1,-11.523088,-73.125,6,Peru
9516123,Shelters & RV,Performance & Non-auto,Loss,2,8,8,250,1,1,0,Unknown,1,-5.965754,-79.453125,6,Peru
9516692,Replacement Parts,Car Accessories,Won,1,0,0,10000,1,1,4,Unknown,2,-9.275622,-75.585938,6,Peru
9516854,Motorcycle Parts,Performance & Non-auto,Won,3,2,2,10357,1,1,0,Unknown,2,-11.523088,-73.125,6,Peru
9516993,Replacement Parts,Car Accessories,Won,5,8,8,316000,1,1,2,Unknown,6,-11.523088,-73.125,6,Peru
9520286,Replacement Parts,Car Accessories,Loss,4,4,4,16000,1,1,0,None,2,-11.523088,-73.125,6,Peru
9520539,Interior Accessories,Car Accessories,Won,2,1,1,59536,1,1,0,Unknown,4,-11.523088,-73.125,6,Peru
9521041,Batteries & Accessories,Car Accessories,Loss,2,13,13,150000,1,1,0,Unknown,5,-5.965754,-79.453125,6,Peru
